slide,OB,CB,FB,GC,HN,VR
2021-12-03 14.14.41,504473,6696,828,0,5496,25289
2021-12-03 14.25.39,3167421,60815,0,0,82659,328837
2021-12-03 14.44.04,1471507,0,21269,0,33184,141204
2021-12-03 14.54.37,1368710,0,98129,0,8449,23614
2021-12-03 15.06.18,79068,0,0,0,47013,51734
2021-12-03 15.11.28,66962,0,0,0,11931,1053
2021-12-03 15.15.20,375096,3444,0,0,8042,15745
2021-12-03 15.20.56,1584064,0,0,0,17937,625347
2021-12-03 15.30.37,2240597,486,0,0,13667,590661
2021-12-03 15.45.30,1059690,0,0,0,70700,136438
2021-12-03 15.51.04,1184285,0,0,0,59524,55119
2021-12-03 16.02.10,64303,0,3716,0,0,0
2021-12-03 16.06.46,463705,0,324,0,7920,1484
2021-12-03 16.12.24,385037,0,0,0,9768,322
2021-12-03 16.16.21,575751,0,0,0,2576,1745
2021-12-03 16.21.10,158369,0,484,0,0,686
2021-12-03 16.24.17,16533,0,0,0,14567,55817
2021-12-03 16.26.36,112600,0,0,0,1558,6148
2021-12-03 16.29.43,91265,1746,0,0,0,828
2021-12-03 16.33.14,824214,810,324,0,15052,6640
2021-12-03 16.40.27,445477,2369,405,0,5,324
2021-12-03 16.47.18,172038,707,2437,0,844,0
2021-12-03 16.52.04,332007,324,0,0,1101,2728
2021-12-03 17.02.10,105785,505,740,0,666,0
2021-12-03 17.06.53,37747,0,19,0,0,0
2021-12-03 17.12.51,4668,0,0,0,0,810
2021-12-03 17.17.29,268166,325,7068,0,1068,1003
2021-12-03 17.20.49,401008,987,0,0,90720,225218
2021-12-03 17.29.11,640562,0,0,0,3549,415595
2021-12-03 17.35.59,26911,0,0,0,1004,14
2021-12-03 17.38.19,124883,0,0,0,324,15634
2021-12-03 17.41.20,99109,0,2771,0,2538,0
2021-12-03 17.44.30,41448,0,0,0,772,0
2021-12-03 17.47.44,516917,0,324,0,0,807
2021-12-03 17.52.24,429817,0,0,0,17600,34818
2021-12-03 17.55.55,306731,0,696,0,4035,0
2021-12-03 17.58.15,344446,0,0,0,7044,116371
2021-12-03 18.01.45,370205,0,1462,0,0,0
2021-12-03 18.04.54,848208,324,0,0,26940,193957
2021-12-03 18.20.23,136897,1073,0,0,65354,810
2021-12-03 18.24.11,127706,0,0,0,4049,0
2021-12-03 18.28.36,265780,457,0,1152,1394,0
2021-12-03 18.32.24,278650,0,654,0,1377,4161
2021-12-03 18.35.37,58887,0,0,0,42969,8367
2021-12-03 18.37.56,67637,0,0,0,0,1
2021-12-03 18.40.05,451356,0,0,0,0,194136
2021-12-03 18.45.00,321619,11,0,0,1961,52637
2021-12-03 18.49.53,89416,324,0,0,0,0
2021-12-03 18.52.16,321733,0,0,0,0,1296
2021-12-03 18.55.35,134135,0,0,0,0,65252
2021-12-03 18.59.27,126854,0,0,0,0,20554
2021-12-03 19.02.40,169117,0,2617,0,19116,314283
2021-12-03 19.08.17,0,0,0,0,0,0
2021-12-03 19.11.14,11491,0,0,0,726,9492
2021-12-03 19.16.19,106209,0,0,0,42172,388061
2021-12-03 19.20.57,340498,0,0,0,0,607281
2021-12-03 19.27.19,665391,0,0,0,271958,269605
2021-12-03 19.34.36,348535,0,1154,0,3421,184474
2021-12-03 19.42.04,496352,0,2677,0,487,11068
2021-12-03 19.48.10,511026,0,0,0,1164,91192
2021-12-03 19.55.42,962607,0,8224,0,0,0
2021-12-03 20.04.06,762537,16149,2849,8321,12442,2358
2021-12-03 20.09.48,180137,0,0,0,324,486
2021-12-03 20.13.20,119023,0,0,0,0,474
2021-12-03 20.16.37,124232,0,0,0,0,14386
2021-12-03 20.21.19,408692,323,0,0,0,18725
2021-12-03 20.29.03,118112,324,0,0,1719,3648
2021-12-03 20.34.27,402793,0,0,0,324,46688
2021-12-03 20.39.32,35549,0,0,0,0,502
2021-12-03 20.43.15,3570529,324,324,0,0,444090
2021-12-03 20.57.14,3450804,1315,0,0,1403,608117
2021-12-03 21.10.59,2841684,250186,342,0,423603,16061
2021-12-03 21.22.09,1762816,132760,0,0,552851,23087
2021-12-03 21.36.32,1205796,799,0,0,58920,293476
2021-12-03 21.42.55,885473,0,0,0,76860,3201
2021-12-03 21.50.43,1339253,49764,0,0,15394,28088
2021-12-03 21.59.29,1782852,5859,4057,0,15018,1900
